"AIRPORT_SEQ_ID","AIRPORT_ID","AIRPORT","DISPLAY_AIRPORT_NAME","DISPLAY_AIRPORT_CITY_NAME_FULL","LATITUDE","LONGITUDE",
1016801,10168,"ADN","Andes Airport","Andes, Colombia",5.66666667,-75.88333333,
1016802,10168,"ADN","Andes Airport","Andes, Colombia",5.69805556,-75.87972222,
1016803,10168,"ADN","Andes Airport","Andes, Colombia",5.69777778,-75.88027778,
1016901,10169,"ADO","Andamooka Airport","Andamooka, Australia",-30.43777778,137.13722222,
1017001,10170,"ADQ","Kodiak Airport","Kodiak, AK",57.75000000,-152.49388889,
1017101,10171,"ADS","Addison","Dallas, TX",32.96833333,-96.83611111,
1017102,10171,"ADS","Addison","Dallas, TX",32.96861111,-96.83638889,
1017201,10172,"ADW","Andrews AFB","Camp Springs, MD",38.81083333,-76.86722222,
1017202,10172,"ADW","Andrews AFB","Camp Springs, MD",38.81083333,-76.86694444,
1017203,10172,"ADW","Joint Base Andrews","Camp Springs, MD",38.81083333,-76.86694444,
1017301,10173,"ADX","RAF Leuchars","St Andrews, United Kingdom",56.37277778,-2.86833333,
1017302,10173,"ADX","RAF Leuchars","St Andrews, United Kingdom",56.37277778,-2.86861111,
1017401,10174,"ADZ","San Andres","San Andres Island, Colombia",12.58333333,-81.70000000,
1017402,10174,"ADZ","Sesquicentenario","San Andres Island, Colombia",12.58305556,-81.71166667,
1017403,10174,"ADZ","Gustavo Rojas Pinilla","San Andres Island, Colombia",12.58361111,-81.71138889,
1017501,10175,"DHF","Al Dhafra Air Base","Al Dhafra, United Arab Emirates",24.24833333,54.54777778,
1017601,10176,"AED","Aleneva Airport","Aleneva, AK",58.03333333,-152.90000000,
1017701,10177,"AEG","Aek Godang","Padang Sidempuan, Indonesia",1.40000000,99.43055556,
1017801,10178,"AEH","Abeche Airport","Abeche, Chad",13.85138889,20.85083333,
1017802,10178,"AEH","Abeche Airport","Abeche, Chad",13.84694444,20.84361111,
1017803,10178,"AEH","Abeche Airport","Abeche, Chad",13.84750000,20.84333333,
1018001,10180,"AEO","Aioun El Atrouss Airport","Aioun El Atrouss, Mauritania",16.70916667,-9.63555556,
1018002,10180,"AEO","Aioun El Atrouss Airport","Aioun El Atrouss, Mauritania",16.71138889,-9.63777778,
1018101,10181,"AEP","Aeroparque Jorge Newbery","Buenos Aires, Argentina",-34.55888889,-58.41583333,
1018102,10181,"AEP","Aeroparque Jorge Newbery","Buenos Aires, Argentina",-34.55916667,-58.41583333,
